date,91_111,92X111,92_111,959111,990111,999111,99_111,9R0111,9R2111,9R3111,9R5111,9R6111,9R9111,9RR111,9RX111,9R_111,9X_111,9__111,X0_111,X2_111,X3_111,X5_111,X60111,X65111,X66111,X69111,X6X111,X6_111,X90111,X92111,X99111,X9X111,X9_111,XR2111,XR6111,XRX111,XR_111,XX_111
2014-12-03,21,9,20,29,20,5,32,4,0,15,3,0,5,3,8,2,9,36,66,64,15,50,11,2,3,67,10,11,10,26,25,22,35,12,8,33,60,29
2014-12-04,30,9,21,35,15,4,38,4,0,17,3,2,2,6,8,7,3,34,64,56,14,52,11,1,1,83,10,10,12,24,34,19,37,17,12,19,71,42
2014-12-05,29,9,16,33,4,3,30,3,0,14,3,3,3,6,8,2,6,30,70,63,13,51,12,1,1,86,6,10,15,20,30,26,45,34,12,19,76,40
2014-12-06,31,10,24,31,3,4,24,13,1,10,3,3,7,6,6,3,4,29,75,70,9,50,18,2,1,84,7,9,13,19,32,21,46,33,12,18,68,35
2014-12-10,38,10,13,34,6,2,21,2,2,7,1,2,6,6,6,1,9,44,82,60,8,53,12,0,3,80,8,19,8,18,28,23,44,20,19,23,78,38
2014-12-11,40,10,15,38,6,2,26,5,0,10,2,3,8,2,6,4,3,44,78,54,12,58,17,2,6,92,7,20,16,26,23,18,53,24,18,24,77,49
2014-12-12,39,10,13,34,5,3,31,6,1,10,1,2,11,2,7,0,2,40,85,68,15,53,14,4,4,82,7,15,13,21,20,24,50,27,8,24,75,49
2014-12-13,31,11,19,26,3,4,29,11,1,9,1,2,7,6,7,2,3,49,78,75,16,41,17,2,4,88,10,12,13,14,31,21,46,22,8,14,77,46
2014-12-14,23,6,14,17,23,12,62,13,4,7,2,6,2,5,2,0,0,44,60,46,11,32,12,2,0,71,8,20,12,16,28,14,35,17,9,13,65,33
2014-12-17,36,8,8,37,16,5,29,2,1,10,1,0,3,7,5,4,5,38,81,66,16,47,12,5,4,71,6,13,12,12,31,24,49,23,9,15,88,39
2014-12-18,34,11,13,40,13,7,39,2,2,10,0,1,5,5,4,5,2,40,81,59,21,57,15,5,1,83,7,10,11,17,24,29,51,18,13,16,87,47
2014-12-19,42,13,14,37,2,4,35,4,3,13,1,0,5,8,4,3,3,41,82,66,15,53,15,5,2,77,9,10,9,15,23,24,52,16,12,18,64,57
2014-12-20,36,13,18,25,2,4,29,1,1,11,3,0,4,6,5,3,6,56,75,81,11,47,20,3,5,86,7,16,9,19,32,27,44,20,10,21,84,45
2014-12-21,28,10,15,17,24,12,70,3,2,15,2,0,3,5,4,4,4,51,62,56,9,37,14,4,3,57,3,17,9,13,30,23,38,22,13,20,69,37
2014-12-24,38,7,27,45,7,2,21,5,1,17,4,2,8,4,5,10,14,42,75,76,20,37,14,5,12,77,8,18,15,13,22,26,43,22,15,26,84,41
2014-12-25,40,10,18,38,9,1,28,6,1,17,1,2,6,4,6,12,17,49,72,57,20,47,21,9,9,86,8,22,14,15,26,34,52,23,16,23,86,48
2014-12-26,44,14,15,30,4,3,29,7,0,11,1,3,11,4,4,7,18,41,76,64,20,49,22,8,10,76,9,23,13,21,33,21,63,31,13,24,76,54
2014-12-27,38,15,24,35,4,5,33,7,1,14,2,3,11,8,6,10,24,48,87,88,13,53,20,7,13,83,11,20,11,16,31,28,49,31,9,23,97,47
